,TYPE_MAIN,OPEN_PARENTESIS,CLOSE_PARENTESIS,OPEN_KEY,TYPE_RETURN,OP_PYC,CLOSE_KEY,ID,TYPE_VOID,OP_COMA,TYPE_CIN,OP_INGRESAR,TYPE_COUT,OP_MOSTRAR,TYPE_DO,TYPE_WHILE,TYPE_FOR,TYPE_INT,OP_IGUAL,NUMBER,TYPE_IF,TYPE_ELSE_IF,TYPE_ELSE,OP_O,OP_Y,SUMA,MULTIPLICACION,RESTA,DIVIDE,OP_MAYOR,OP_MENOR,OP_MAYOR_IGUAL,OP_MENOR_IGUAL,EQUAL,DECIMAL,LITERAL,TYPE_FLOAT,TYPE_DOUBLE,TYPE_BOOL,TYPE_CHAR,TYPE_STRING,$
K,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,,,,,,,,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,,,,,,,,,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,,,,,,,,,,,,,,,,,,,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R,R TYPE_MAIN OPEN_PARENTESIS CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN NUMBER OP_PYC CLOSE_KEY R
R,e,,,,,,,,TYPE_VOID ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M CLOSE_KEY,,,,,,,,,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,,,,,,,,,,,,,,,,,,,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,Q ID OPEN_PARENTESIS V CLOSE_PARENTESIS OPEN_KEY M TYPE_RETURN E OP_PYC CLOSE_KEY R,''
V,,,e,,,,,,,,,,,,,,,Q ID Ñ,,,,,,,,,,,,,,,,,,,Q ID Ñ,Q ID Ñ,Q ID Ñ,Q ID Ñ,Q ID Ñ,
Ñ,,,e,,,,,,,OP_COMA V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,e,,e,,,,TYPE_CIN OP_INGRESAR ID OP_PYC M,,TYPE_COUT OP_MOSTRAR E N OP_PYC M,,DO_WHILE M,WHILE M,FOR M,J M,,,IF M,,,,,,,,,,,,,,,,J M,J M,J M,J M,J M,
N,,,,,,e,,,,,,,,OP_MOSTRAR E N OP_PYC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO_WHILE,,,,,,,,,,,,,,,TYPE_DO OPEN_KEY M CLOSE_KEY TYPE_WHILE OPEN_PARENTESIS E L CLOSE_PARENTESIS OP_PYC,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHILE,,,,,,,,,,,,,,,,TYPE_WHILE OPEN_PARENTESIS E L CLOSE_PARENTESIS OPEN_KEY M CLOSE_KEY,,,,,,,,,,,,,,,,,,,,,,,,,,
FOR,,,,,,,,,,,,,,,,,TYPE_FOR OPEN_PARENTESIS TYPE_INT ID OP_IGUAL NUMBER OP_PYC E L OP_PYC P CLOSE_PARENTESIS OPEN_KEY M CLOSE_KEY,,,,,,,,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,,,,,,,,,TYPE_IF OPEN_PARENTESIS E L CLOSE_PARENTESIS OPEN_KEY M CLOSE_KEY G W,,,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,,,,TYPE_ELSE_IF OPEN_PARENTESIS E L CLOSE_PARENTESIS OPEN_KEY M CLOSE_KEY G W,'',,,,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,,,,,,,,,,,,TYPE_ELSE OPEN_KEY M CLOSE_KEY,,,,,,,,,,,,,,,,,,,
L,,,e,,,,,,,,,,,,,,,,,,,,,OP_O E,OP_Y E,,,,,,,,,,,,,,,,,
P,,,,,,,,ID OP_IGUAL E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,Q ID A OP_PYC,,,,,,,,,,,,,,,,,,,Q ID A OP_PYC,Q ID A OP_PYC,Q ID A OP_PYC,Q ID A OP_PYC,Q ID A OP_PYC,
A,,,,,,e,,,,,,,,,,,,,OP_IGUAL E,,,,,,,,,,,,,,,,,,,,,,,
E,,T E',,,,,,T E',,,,,,,,,,,,T E',,,,,,,,T E',,,,,,,T E',T E',,,,,,
E',,,e,,e,e,e,,,,e,,e,e,e,e,e,e,,,e,,e,e,e,SUMA T E',MULTIPLICACION T E',RESTA T E',DIVIDE T E',OP_MAYOR T E',OP_MENOR T E',OP_MAYOR_IGUAL T E',OP_MENOR_IGUAL T E',EQUAL T E',,,e,e,e,e,e,
